id,item_group_id,lang,stage,prompt_type,knowledge_mode,difficulty,inquiry,reference,context,multimodal_asset_paths
PR-EN-001-ze-base,PR-EN-001-ze,en,problem_finding,zero_shot,none,,Can you find examples of things that move in a circular path around you?,"[""What are some examples of things in your surroundings that move in a circular path and experience a force directed towards the center?"", ""Can you identify items in your daily life that exhibit circular motion and require a continuous inward force to maintain their path?"", ""How can you find instances around you where something is moving in a circle and is constantly being pulled towards the center of that circle?""]",Classroom with a ceiling fan,[]
PR-EN-001-ze-kg,PR-EN-001-ze,en,problem_finding,zero_shot,kg,,Can you find something in your environment that moves in a circular path and identify what keeps it moving in that path?,"[""What are some examples of things in your surroundings that move in a circular path and experience a force directed towards the center?"", ""Can you identify items in your daily life that exhibit circular motion and require a continuous inward force to maintain their path?"", ""How can you find instances around you where something is moving in a circle and is constantly being pulled towards the center of that circle?""]",Classroom with a ceiling fan,[]
PR-EN-002-fe-base,PR-EN-002-fe,en,problem_finding,few_shot,none,,What can you find in your environment that demonstrates circular motion?,"[""What are some examples of things in your surroundings that move in a circular path and experience a force directed towards the center?"", ""Can you identify items in your daily life that exhibit circular motion and require a continuous inward force to maintain their path?"", ""How can you find instances around you where something is moving in a circle and is constantly being pulled towards the center of that circle?""]",Classroom with a ceiling fan,[]
PR-EN-002-fe-kg,PR-EN-002-fe,en,problem_finding,few_shot,kg,,What items in your environment can you identify that move in a circular path?,"[""What are some examples of things in your surroundings that move in a circular path and experience a force directed towards the center?"", ""Can you identify items in your daily life that exhibit circular motion and require a continuous inward force to maintain their path?"", ""How can you find instances around you where something is moving in a circle and is constantly being pulled towards the center of that circle?""]",Classroom with a ceiling fan,[]
PR-EN-003-co-base,PR-EN-003-co,en,problem_finding,cot,none,,What items in your environment move in a circular path and experience a force directed towards the center of the circle?,"[""What are some examples of things in your surroundings that move in a circular path and experience a force directed towards the center?"", ""Can you identify items in your daily life that exhibit circular motion and require a continuous inward force to maintain their path?"", ""How can you find instances around you where something is moving in a circle and is constantly being pulled towards the center of that circle?""]",Classroom with a ceiling fan,[]
PR-EN-003-co-kg,PR-EN-003-co,en,problem_finding,cot,kg,,What items in your environment can you find that move in a circular path and require an inward force to maintain that motion?,"[""What are some examples of things in your surroundings that move in a circular path and experience a force directed towards the center?"", ""Can you identify items in your daily life that exhibit circular motion and require a continuous inward force to maintain their path?"", ""How can you find instances around you where something is moving in a circle and is constantly being pulled towards the center of that circle?""]",Classroom with a ceiling fan,[]
PR-EN-004-dr-base,PR-EN-004-dr,en,problem_finding,draft_critique_revise,none,,What items in your environment can you identify that move in a circular path?,"[""What are some examples of things in your surroundings that move in a circular path and experience a force directed towards the center?"", ""Can you identify items in your daily life that exhibit circular motion and require a continuous inward force to maintain their path?"", ""How can you find instances around you where something is moving in a circle and is constantly being pulled towards the center of that circle?""]",Classroom with a ceiling fan,[]
PR-EN-004-dr-kg,PR-EN-004-dr,en,problem_finding,draft_critique_revise,kg,,What items in your environment can you find that move in a circular path?,"[""What are some examples of things in your surroundings that move in a circular path and experience a force directed towards the center?"", ""Can you identify items in your daily life that exhibit circular motion and require a continuous inward force to maintain their path?"", ""How can you find instances around you where something is moving in a circle and is constantly being pulled towards the center of that circle?""]",Classroom with a ceiling fan,[]
PR-EN-005-ze-base,PR-EN-005-ze,en,problem_finding,zero_shot,none,,Can you find examples of things that move in a circular path around you?,"[""What are some examples of things in your surroundings that move in a circular path and experience a force directed towards the center?"", ""Can you identify items in your daily life that exhibit circular motion and require a continuous inward force to maintain their path?"", ""How can you find instances around you where something is moving in a circle and is constantly being pulled towards the center of that circle?""]",Bicycle wheel spinning,[]
PR-EN-005-ze-kg,PR-EN-005-ze,en,problem_finding,zero_shot,kg,,Can you find something around you that moves in a circular path and identify where the motion is fastest?,"[""What are some examples of things in your surroundings that move in a circular path and experience a force directed towards the center?"", ""Can you identify items in your daily life that exhibit circular motion and require a continuous inward force to maintain their path?"", ""How can you find instances around you where something is moving in a circle and is constantly being pulled towards the center of that circle?""]",Bicycle wheel spinning,[]
PR-EN-006-fe-base,PR-EN-006-fe,en,problem_finding,few_shot,none,,What can you find in your surroundings that demonstrates circular motion?,"[""What are some examples of things in your surroundings that move in a circular path and experience a force directed towards the center?"", ""Can you identify items in your daily life that exhibit circular motion and require a continuous inward force to maintain their path?"", ""How can you find instances around you where something is moving in a circle and is constantly being pulled towards the center of that circle?""]",Bicycle wheel spinning,[]
PR-EN-006-fe-kg,PR-EN-006-fe,en,problem_finding,few_shot,kg,,What items in your surroundings can you find that demonstrate circular motion?,"[""What are some examples of things in your surroundings that move in a circular path and experience a force directed towards the center?"", ""Can you identify items in your daily life that exhibit circular motion and require a continuous inward force to maintain their path?"", ""How can you find instances around you where something is moving in a circle and is constantly being pulled towards the center of that circle?""]",Bicycle wheel spinning,[]
PR-EN-007-co-base,PR-EN-007-co,en,problem_finding,cot,none,,What items around you can demonstrate the concept of centripetal acceleration?,"[""What are some examples of things in your surroundings that move in a circular path and experience a force directed towards the center?"", ""Can you identify items in your daily life that exhibit circular motion and require a continuous inward force to maintain their path?"", ""How can you find instances around you where something is moving in a circle and is constantly being pulled towards the center of that circle?""]",Bicycle wheel spinning,[]
PR-EN-007-co-kg,PR-EN-007-co,en,problem_finding,cot,kg,,What items around you can you find that move in a circular path and demonstrate centripetal acceleration?,"[""What are some examples of things in your surroundings that move in a circular path and experience a force directed towards the center?"", ""Can you identify items in your daily life that exhibit circular motion and require a continuous inward force to maintain their path?"", ""How can you find instances around you where something is moving in a circle and is constantly being pulled towards the center of that circle?""]",Bicycle wheel spinning,[]
PR-EN-008-dr-base,PR-EN-008-dr,en,problem_finding,draft_critique_revise,none,,What items around you can you find that move in a circular path?,"[""What are some examples of things in your surroundings that move in a circular path and experience a force directed towards the center?"", ""Can you identify items in your daily life that exhibit circular motion and require a continuous inward force to maintain their path?"", ""How can you find instances around you where something is moving in a circle and is constantly being pulled towards the center of that circle?""]",Bicycle wheel spinning,[]
