id,item_group_id,lang,stage,difficulty,prompt_type,knowledge_mode,bleu1,bleu4,rouge1,rouge2,rougeL,bertscore_precision,bertscore_recall,bertscore_f1,geval_overall
PR-EN-001-fe-base,PR-EN-001-fe,en,problem_finding,,few_shot,none,56.87541232354464,25.117527162201885,0.5384615384615385,0.25,0.3846153846153846,0.9202319383621216,0.9166465997695923,0.91843581199646,4.2
PR-EN-002-fe-base,PR-EN-002-fe,en,problem_finding,,few_shot,none,45.83333333333333,15.948715931428456,0.4888888888888889,0.27906976744186046,0.35555555555555557,0.8667755722999573,0.8929160237312317,0.8796516060829163,4
PR-EN-003-fe-base,PR-EN-003-fe,en,problem_finding,,few_shot,none,46.553138985201144,9.002693391848274,0.3448275862068965,0.14814814814814817,0.2758620689655172,0.8860307931900024,0.8902566432952881,0.8881387114524841,3.8
PR-EN-004-fe-base,PR-EN-004-fe,en,problem_finding,,few_shot,none,65.95414762772626,13.321592461461115,0.5294117647058824,0.37499999999999994,0.5294117647058824,0.9255993366241455,0.9015154838562012,0.9090249538421631,3.8
PR-EN-005-fe-base,PR-EN-005-fe,en,problem_finding,,few_shot,none,65.95414762772626,13.321592461461115,0.5294117647058824,0.37499999999999994,0.5294117647058824,0.9255993366241455,0.9015154838562012,0.9090249538421631,3.8
PR-EN-006-fe-base,PR-EN-006-fe,en,problem_exploring,,few_shot,none,28.423819776387127,1.4344118073213725,0.23809523809523808,0.0,0.23809523809523808,0.8972750306129456,0.8712607622146606,0.8805153369903564,4.2
PR-EN-007-fe-base,PR-EN-007-fe,en,problem_exploring,,few_shot,none,26.08695652173913,1.296247288049188,0.22222222222222224,0.046511627906976744,0.1702127659574468,0.8924466967582703,0.8814111948013306,0.886784553527832,4.2
PR-EN-008-fe-base,PR-EN-008-fe,en,problem_exploring,,few_shot,none,33.161123072451645,2.651005012286547,0.23809523809523808,0.05000000000000001,0.19047619047619047,0.9010565280914307,0.899054229259491,0.9000542759895325,4.2
PR-EN-009-fe-base,PR-EN-009-fe,en,problem_exploring,,few_shot,none,22.862988404582556,1.3457203444208508,0.27027027027027023,0.0,0.2162162162162162,0.8847827911376953,0.8670172691345215,0.8758099675178528,4
PR-EN-010-fe-base,PR-EN-010-fe,en,problem_exploring,,few_shot,none,32.00818376641558,3.0955963499059584,0.37837837837837834,0.17142857142857143,0.30769230769230765,0.9224441647529602,0.8887763023376465,0.9052973389625549,4.2
PR-EN-011-fe-base,PR-EN-011-fe,en,problem_generating,easy,few_shot,none,40.47682015692299,13.598120724091189,0.4477611940298507,0.18461538461538463,0.29850746268656714,0.8882520794868469,0.9084796905517578,0.8982520699501038,4.6
PR-EN-012-fe-base,PR-EN-012-fe,en,problem_generating,easy,few_shot,none,40.47682015692299,13.598120724091189,0.4477611940298507,0.18461538461538463,0.29850746268656714,0.8898472189903259,0.9090994596481323,0.8993703126907349,4.6
PR-EN-013-fe-base,PR-EN-013-fe,en,problem_generating,easy,few_shot,none,34.99999999999999,15.216835672674847,0.41666666666666663,0.20000000000000004,0.3055555555555555,0.8853378891944885,0.9162993431091309,0.9005526304244995,4.6
PR-EN-014-fe-base,PR-EN-014-fe,en,problem_generating,easy,few_shot,none,40.52518654651452,17.769104989428726,0.4358974358974359,0.208955223880597,0.2898550724637681,0.8916242718696594,0.9101911783218384,0.900812029838562,4.6
PR-EN-015-fe-base,PR-EN-015-fe,en,problem_generating,easy,few_shot,none,45.45454545454545,15.914698692067859,0.46875,0.22580645161290322,0.34375,0.8960347175598145,0.9113860726356506,0.9036452770233154,4.4
PR-EN-016-fe-base,PR-EN-016-fe,en,problem_generating,intermediate,few_shot,none,47.27272727272727,8.44334270311965,0.4403669724770642,0.1263157894736842,0.28,0.8827577829360962,0.8958025574684143,0.8881630301475525,4.6
PR-EN-017-fe-base,PR-EN-017-fe,en,problem_generating,intermediate,few_shot,none,39.01239648113331,2.508608944670178,0.35000000000000003,0.12820512820512822,0.3,0.8905498385429382,0.891592264175415,0.8895106911659241,4
PR-EN-018-fe-base,PR-EN-018-fe,en,problem_generating,intermediate,few_shot,none,58.97435897435898,15.378152425158115,0.45569620253164556,0.2077922077922078,0.32911392405063294,0.8912563323974609,0.8968610167503357,0.8940498232841492,4.4
PR-EN-019-fe-base,PR-EN-019-fe,en,problem_generating,intermediate,few_shot,none,54.054054054054056,25.778741610561273,0.45,0.18666666666666668,0.3595505617977528,0.9077315926551819,0.8933670520782471,0.9004920721054077,4.2
PR-EN-020-fe-base,PR-EN-020-fe,en,problem_generating,intermediate,few_shot,none,60.97560975609756,16.49662542496744,0.4941176470588235,0.175,0.3058823529411765,0.8973934650421143,0.8990429639816284,0.8972719311714172,4.4
PR-EN-021-fe-base,PR-EN-021-fe,en,problem_generating,advanced,few_shot,none,43.47826086956522,9.195315575574476,0.3725490196078432,0.12,0.2608695652173913,0.8859999179840088,0.8899948596954346,0.887296736240387,4.4
